# Data Description: ,,
"#                 Daily returns of S&P composite index from January 3, 2000 to December 31, 2003",,
# Variables: ,,
#                  Date: yearmmdd,,
#                  Ret: daily return on S&P composite index,,
"#                  Weekdays: 1=Monday, 2=Tuesday, 3=Wednesday, 4=Thursday, 5=Friday",,
,,
Date,Ret,Weekdays
20030902,0.013056,2
20030903,0.00641,3
20030904,0.006013,4
20030905,-0.000196,5
20030908,0.010874,1
20030909,-0.002108,2
20030910,-0.012439,3
20030911,0.007924,4
20030912,0.003997,5
20030915,0.00058,1
20030916,0.010919,2
20030917,0.002351,3
20030918,0.008086,4
20030919,0.003443,5
20030922,-0.005917,1
20030923,0.007712,2
20030924,-0.009972,3
20030925,-0.013243,4
20030926,-0.013071,5
20030929,0.007166,1
20030930,-0.003566,2
20031001,0.015305,3
20031002,0.004611,4
20031003,0.009737,5
20031006,0.007352,1
20031007,0.006282,2
20031008,-0.001304,3
20031009,0.005945,4
20031010,0.001421,5
20031013,0.010441,1
20031014,0.006192,2
20031015,-0.002113,3
20031016,0.004561,4
20031017,-0.007542,5
20031020,0.001821,1
20031021,0.004346,2
20031022,-0.011665,3
20031023,-0.004021,4
20031024,-0.003689,5
20031027,0.008854,1
20031028,0.012185,2
20031029,0.00691,3
20031030,0.001389,4
20031031,0.001948,5
20031103,0.010954,1
20031104,0.002003,2
20031105,0.002408,3
20031106,0.005301,4
20031107,0.00299,5
20031110,-0.006203,1
20031111,-0.005744,2
20031112,0.014365,3
20031113,0.002561,4
20031114,-0.006893,5
20031117,-0.009735,1
20031118,-0.004265,2
20031119,0.003858,3
20031120,-0.004978,4
20031121,0.002141,5
20031124,0.012834,1
20031125,0.006368,2
20031126,0.006293,3
20031128,0.005597,5
20031201,0.011045,1
20031202,0.000867,2
20031203,-0.004897,3
20031204,-0.000739,4
20031205,-0.004161,5
20031208,0.003111,1
20031209,-0.00853,2
20031210,-0.009319,3
20031211,0.014634,4
20031212,0.007212,5
20031215,-0.008947,1
20031216,-0.000297,2
20031217,0.001279,3
20031218,0.010751,4
20031219,0.00001,5
20031222,0.003132,1
20031223,0.00576,2
20031224,0.001403,3
20031226,0.004358,5
20031229,0.011615,1
20031230,0.003607,2
20031231,-0.001176,3
